obf,disccount,nodekindcode,lowerbound,upperbound
-------------X----OXX------OO------XO--------------------------- X;,8,8,-36,-2
-------------------X--O----XXOX----XO-------O-------O----------- X;,10,16,-8,36
----------O--------OXX-----XOO-----XO--------------------------- X;,9,16,-16,36
------------------O-O-----XXOX-----OOO-------------------------- X;,9,16,2,36
-------------------XO------XOO-----XOX----XO-------------------- X;,10,16,-22,36
-----------O------OO------XOX----XOOO--------------------------- X;,10,8,-36,16
---------O-X------OX-------OO------OO-------O------------------- X;,9,16,-20,36
-------------X------X----OOXO-----XOO-------O------------------- X;,10,16,0,36
-------------------XX-----OXOO----XOO-------O------------------- X;,10,2,6,6
----------OX------XO-------XO------OO-------O------------------- X;,9,16,-20,36
------------------X-------OXO------OOO-------------------------- X;,7,16,-20,36
--------------------XXX---OOO-----XOO-------O------------------- X;,10,8,-36,20
-------------O-------O----XXXO-----OO------O-------------------- X;,9,16,-20,36
-------------------X-------XOO-----OO-----OO-----O-------------- X;,9,16,-20,36
------------------OX-------OOO-----XOX----XO-------------------- X;,10,8,-36,20
-----------------X-OX-----XOX-----XOX-----O--------------------- X;,10,8,-36,-2
--------------X----OOX-----XO-----XXXO-------------------------- X;,10,2,16,16
-------------------X-O-----XO-----XOXX---XO--------------------- X;,10,16,22,36
------------------OX-------OOO----XXOX-----O-------------------- X;,10,8,-36,20
-----------O------XOX------OO------OOO-------------------------- X;,9,16,-16,36
------------X-----OX------XOOX-----OOO-------------------------- X;,10,16,-8,36
-------------------XXX----XOOO----OOO--------------------------- X;,10,16,-18,36
------------------XO-------XO------OOO-------------------------- X;,7,16,-20,36
-------------------XOOO----XO------OO-----O--------------------- X;,9,16,-20,36
-----------------OOOX------XO------OOO-------------------------- X;,9,16,-20,36
-------------------XO------XX------XOOO-----O------------------- X;,9,2,10,10
------------O----XXXOX-----OO------XO--------------------------- X;,10,8,-36,20
------------------OX------OXXX----XOO-------O------------------- X;,10,16,-6,36
----------X-------X-------XOX-----OOO--------------------------- X;,8,8,-36,20
------------O------XOX-----XOO-----XO--------------------------- X;,9,16,-16,36
--------------------OOO----OX------XO--------------------------- X;,7,16,-20,36
------------------OX-------OX------XO--------------------------- X;,6,2,20,20
--------------X----OOX-----OX-----XOX------O-------------------- X;,10,2,20,20
-------------------X-------XXO-----XXO-----OOO------------------ X;,10,2,24,24
--------------------OO----XXOX-----OO------O-------------------- X;,9,8,-36,14
-------------------XXX-----XOO----OOO--------------------------- X;,9,16,-16,36
----------O-------XOX------OO------OOO-------------------------- X;,9,16,-16,36
------------------OX-------OXO----XXOX-----O-------------------- X;,10,2,20,20
-------------------OX-----OOO-----XOOO-------------------------- X;,9,4,-6,-6
-------------------XO------OO----XXXOX------O------------------- X;,10,8,-36,6
-------------------OX------XO----OOOOO-------------------------- X;,9,16,-6,36
------------------X-X-----OXOO-----OO------O-------------------- X;,9,16,-20,36
-------------------OXX-----OX-----XOXO-----O-------------------- X;,10,8,-36,6
------------X------X-O----XOO------OO------O-------------------- X;,9,16,0,36
-------------------XX-----OOXO-----XOO-------O------------------ X;,10,2,18,18
-------------------XO------XXO-----XOOO-----O------------------- X;,10,2,-2,-2
-------------------XO------XXXO----XOO------O------------------- X;,10,2,2,2
------------------X-------OOOO----XXXX-----O-------------------- X;,10,16,-14,36
-------------------OO-----XXOX-----OOO-------------------------- X;,9,4,2,2
-------------------XO------OO-----OOO--------------------------- X;,7,4,2,2
-------------------X------XOOO---X-XOX------O------------------- X;,10,8,-36,-2
-------------X------X----OOXO-----OXO------O-------------------- X;,10,16,-14,36
--------------------O-O---XXXO----OOO--------------------------- X;,9,16,2,36
--------------------X-----OXX-----XOXO------O------O------------ X;,10,2,8,8
--------------------OO----XXOX----OOO--------------------------- X;,9,16,2,36
----------X--------XXO-----OO-----XOX------O-------------------- X;,10,8,-36,-2
--------------------O-----XXXO----OOOOO------------------------- X;,10,16,-6,36
--------------X----OOX-----XO-----XXO-------O------------------- X;,10,2,16,16
-------------------OX----XXOX------OO--------O------------------ X;,9,2,14,14
--------------X------X-----XXO-----XOO-----O------O------------- X;,10,2,22,22
--------------O----XXO-----OO-----OOO--------------------------- X;,9,4,-16,-16
-------------O----XXO------OO------OOO-------------------------- X;,9,16,-14,36
--------------------X-----OXX----XXOX-----O-O------------------- X;,10,8,-36,16
------------OX------O-----XXO------XO--------------------------- X;,8,16,-10,36
-----------O--------OX----OXXO----XXX--------------------------- X;,10,8,-36,-2
