obf,disccount,nodekindcode,lowerbound,upperbound
------------------X-X------XXO-----XX------OOO------------------ X;,10,16,-14,36
-------------------O-X-----OXOO---XOO------O-------------------- X;,10,16,-12,36
---------O--------O--X-----OXO-----XO-------O-------O----------- X;,10,16,-20,36
-------------------X-------XOO-----OOO----O--O------------------ X;,9,16,2,36
------------------X--X----OOOO-----OO------O-------O------------ X;,10,4,-20,-20
------------O-----O-OX-----XO-----XXO-------O------------------- X;,10,16,-14,36
------------------O--X-----OX-----XXO-------O------------------- X;,8,16,-14,36
-------------------O--X----OOXO---XOX-----O--------------------- X;,10,16,-14,36
---------------------X-----XX----OOXO-----OOO------------------- X;,10,16,-14,36
------------------X-OX-----XOO-----XO-------O-------O----------- X;,10,16,-20,36
-------------O-----XOX----XOX-----OOO--------------------------- X;,10,16,8,36
---------------------X-----XX----OOXO------OO-------O----------- X;,10,16,-14,36
----------O--------O--X----XOX-----XO-------O-------O----------- X;,10,16,2,36
--------------------XO---XXXO------OOO-------------------------- X;,9,2,12,12
--------------------X------XX-----XOOO----O--------------------- X;,8,8,-36,20
----------O--------O--O----XXOX----XO--------------------------- X;,9,2,24,24
------------------O--X----XOXO-----OO------O-------------------- X;,9,16,-20,36
-------------------O-X-----OOO----XXO-------O------------------- X;,9,8,-36,6
-----------------O--X----XOXX------OO--------O------------------ X;,9,2,24,24
---------------------------XXX---OXOX----OO------O-------------- X;,10,8,-36,20
------------------O--X-----OX----OXOO----X--O------------------- X;,10,16,-24,36
-----------------X-O------XOXX----XOX-----O--------------------- X;,10,8,-36,-2
------------OX------OX---OOOO------XO--------------------------- X;,10,16,-22,36
-------------------O-X-----OX----OXOO----X--O------------------- X;,10,16,-24,36
------------O-----O-OX-----OX------XOO----X--------------------- X;,10,16,-20,36
-------------------OOO-----XOX----XOX------O-------------------- X;,10,16,-6,36
--------------------OX-----XO----OXOO----X--O------------------- X;,10,16,-24,36
--------------------X------XX------XOO-----O------O------------- X;,8,16,-6,36
-------------------XO------XX-O----XOO------O------------------- X;,9,2,8,8
------------------X---O----XXOX----XO-------O-------O----------- X;,10,16,-16,36
-------------------OX------XOO----XOX-----O--------------------- X;,9,16,2,36
------------------X-O------XOXX----XO-------O-------O----------- X;,10,16,-16,36
---------O--------OXX-----XOO------OOO-------------------------- X;,10,8,-36,-2
---------------------X---XXXX------OOO-----O-------O------------ X;,10,4,-16,-16
------------------O-X----XXOX------OO--------O------------------ X;,9,2,20,20
-------------------X-------XOO-----OO-----O--------------------- X;,7,2,14,14
--------------X------X-----XXOO---XXO------O-------------------- X;,10,8,-36,20
-----------X-------XX------XO----OOOOO-------------------------- X;,10,8,-36,6
-----------X-------X-------XO----OOOO--------O------------------ X;,9,2,16,16
-------------------O------XXOX-----OOO-------------------------- X;,8,1,-4,-4
----------X--------X-------OOOO----OO-------O------------------- X;,9,8,-36,6
---------X--------XX-O----OXO-----OOO--------------------------- X;,10,2,24,24
